BRGE7,Consórcio Alfa,400,9,29,+26,22%
EKTR3,Elektro,100,34,92,-3,19%
ODER4,Conservas Oderich,100,100,00,+12,35%
PARD3,Hermes Pardini,1.861.800,18,10,+1,29%
CASN3,CASAN,100,10,43,-18,39%
CEED4,CEEE D,100,30,00,-14,29%
MRSA5B,MRS Logística,100,27,00,+22,39%
WIZS3,WIZS3,779.400,7,16,+1,99%
LLIS3,LLIS3,249.800,1,73,+2,98%
MSPA3,Melhoramentos,400,46,25,-7,52%
BRML3,BRMalls,16.132.900,8,26,+2,35%
DMMO3,Dommo Energia,3.254.800,1,76,-1,12%
GETT3,Getnet,46.500,2,40,+1,27%
GETT4,Getnet,18.500,2,40,+1,27%
SULA4,SulAmérica,18.600,7,63,+5,53%
SULA3,SulAmérica,4.000,7,43,+1,50%
MRSA3B,MRS Logística,100,26,00,+4,00%
CEPE5,CELPE,100,40,12,+0,02%
TCNO4,Tecnosolo,36.800,0,85,-9,57%
TCNO3,Tecnosolo,3.400,1,20,-1,64%
CEPE6,CELPE,100,43,00,+6,17%
BKBR3,BKBR3,782.300,7,63,+0,26%
MTIG4,Metalgráfica Iguaçu,100,23,00,+0,00%
BLUT4,Blue Tech Solutions,171.100,1,52,-5,59%
BLUT3,Blue Tech Solutions,13.400,5,14,+0,59%
MODL4,Banco Modal,700,2,72,-2,16%
CARD3,CARD3,118.000,14,51,+1,82%
SHUL3,Schulz,100,27,94,-50,12%
FIGE3,Investimentos Bemge,100,12,03,+99,83%
FNCN3,Finansinos,4.800,14,25,-0,35%
TEKA3,Teka,100,8,23,+1,73%
HETA3,Hercules,200,96,00,+0,00%
LCAM3,Locamerica,26.118.900,24,15,+1,86%
BIDI4,Banco Inter,52.479.800,3,41,-2,01%
BIDI3,Banco Inter,15.262.400,3,40,-2,58%
EEEL4,CEEE GT,100,410,00,-2,88%
EEEL3,CEEE GT,400,421,01,+5,25%
BBRK3,BBRK3,1.279.600,0,80,+1,27%
SOND3,Sondotécnica,200,46,01,+14,45%
CESP6,CESP,9.306.600,25,25,+1,41%
CESP3,CESP,11.500,25,55,+1,71%
CESP5,CESP,300,25,00,+2,75%
ECPR4,Encorpar,100,90,74,+0,42%
MOSI3,Mosaico,1.021.200,8,24,+3,00%
POWE3,Focus Energia,678.000,10,90,-2,24%
ECPR3,Encorpar,300,90,25,+12,97%
GNDI3,NotreDame Intermédica,33.458.600,65,34,+0,00%
LAME4,Lojas Americanas,43.631.000,6,55,+2,02%
